"word","count","disc_count","fw_count","estimate","leftover_prob","beta"
"pro_and",1,0.3,6,0.05,0.7,0.999053675477366
"fire_them",1,0.3,27,0.011111111,0.7,0.970879142538461
"they_disobey",1,0.3,340,0.000882353,0.7,0.7
"disobey_i",1,0.3,1,0.3,0.7,0.962253302441757
"how_fast",1,0.3,161,0.001863354,0.7,0.982352942823529
"fast_you",1,0.3,17,0.017647059,0.7,0.999710146405797
"you_reply",1,0.3,1035,0.000289855,0.7,0.94
"reply_lol",1,0.3,5,0.06,0.7,0.970886055101266
"but_alright",1,0.3,498,0.00060241,0.7,0.8375
"your_number",1,0.3,346,0.000867052,0.7,0.988888887962963
"number_when",1,0.3,27,0.011111111,0.7,0.873431730535055
"phone_then",1,0.3,21,0.014285714,0.7,0.997810214751825
"then_basha",1,0.3,137,0.002189781,0.7,0.7
"basha_down",1,0.3,1,0.3,0.7,0.997169825679245
"down_entering",1,0.3,106,0.002830189,0.7,0.675
"third_hit",1,0.3,19,0.015789474,0.7,0.961764701588235
"two_two-run",1,0.3,120,0.0025,0.7,0.85
"two-run_home",1,0.3,2,0.15,0.7,0.996
"home_runs",1,0.3,75,0.004,0.7,0.972727270363636
"runs_to",1,0.3,11,0.027272727,0.7,0.99281944915069
"lead_kailey",1,0.3,22,0.013636364,0.7,0.7
"kailey_regester",1,0.3,1,0.3,0.7,0.7
"regester_rbis",1,0.3,1,0.3,0.7,0.85
"rbis_hit",1,0.3,2,0.15,0.7,0.961764701588235
"her_11th",1,0.3,216,0.001388889,0.7,0.85
"11th_of",1,0.3,2,0.15,0.7,0.778074836548387
"and_hailee",1,0.3,2430,0.000123457,0.7,0.7
"hailee_siroky",1,0.3,1,0.3,0.7,0.7
"siroky_blasted",1,0.3,1,0.3,0.7,0.7
"blasted_her",1,0.3,1,0.3,0.7,0.998611136111111
"her_sixth",1,0.3,216,0.001388889,0.7,0.94
"sixth_of",1,0.3,5,0.06,0.7,0.778074836548387
"if_lugar",1,0.3,280,0.001071429,0.7,0.7
"lugar_were",1,0.3,1,0.3,0.7,0.99343441169697
"to_hang",1,0.3,2827,0.00010612,0.7,0.881818180090909
"on_that's",1,0.3,869,0.000345224,0.7,0.980303043030303
"how_he'll",1,0.3,161,0.001863354,0.7,0.95
"he'll_hang",1,0.3,6,0.05,0.7,0.881818180090909
"on_said",1,0.3,869,0.000345224,0.7,0.999085359658537
"said_kip",1,0.3,328,0.000914634,0.7,0.7
"kip_tew",1,0.3,1,0.3,0.7,0.7
"tew_a",1,0.3,1,0.3,0.7,0.996840929441397
"former_state",1,0.3,24,0.0125,0.7,0.995161306354839
"state_democratic",1,0.3,62,0.00483871,0.7,0.95
"democratic_party",1,0.3,6,0.05,0.7,0.990625
"party_chairman",1,0.3,32,0.009375,0.7,0.925
"chairman_praying",1,0.3,4,0.075,0.7,0.94
"praying_god's",1,0.3,5,0.06,0.7,0.925
"god's_favor",1,0.3,4,0.075,0.7,0.85
"favor_over",1,0.3,2,0.15,0.7,0.989763791535433
"is_killin",1,0.3,1138,0.00026362,0.7,0.85
"killin_it",1,0.3,2,0.15,0.7,0.992200897547009
"over_man",1,0.3,127,0.002362205,0.7,0.995161302290322
"man_hours",1,0.3,62,0.00483871,0.7,0.962857155
"work_since",1,0.3,99,0.003030303,0.7,0.9796875
"it's_inception",1,0.3,185,0.001621622,0.7,0.7
"inception_bouchet's",1,0.3,1,0.3,0.7,0.7
"bouchet's_tour",1,0.3,1,0.3,0.7,0.976923076307692
"tour_also",1,0.3,13,0.023076923,0.7,0.991034523758621
"took_her",1,0.3,30,0.01,0.7,0.975462988111111
"the_or",1,0.3,4856,0.0000617792,0.7,0.998979564095238
"or_tor",1,0.3,294,0.001020408,0.7,0.7
"tor_kor",1,0.3,1,0.3,0.7,0.7
"kor_market",1,0.3,1,0.3,0.7,0.989655181931034
"market_a",1,0.3,29,0.010344828,0.7,0.998503439441397
"daily_offering",1,0.3,12,0.025,0.7,0.9625
"offering_of",1,0.3,8,0.0375,0.7,0.999849029548387
"of_fresh",1,0.3,1984,0.00015121,0.7,0.972727270363636
"fresh_local",1,0.3,11,0.027272727,0.7,0.990625
"local_produce",1,0.3,32,0.009375,0.7,0.54
"and_spices",1,0.3,2430,0.000123457,0.7,0.7
"spices_as",1,0.3,1,0.3,0.7,0.950609734617886
"food_court",1,0.3,39,0.007692308,0.7,0.983333339
"court_and",1,0.3,18,0.016666667,0.7,0.994938449477366
"to_cafe",1,0.3,2827,0.00010612,0.7,0.7
"cafe_chilli",1,0.3,1,0.3,0.7,0.7
"chilli_cafechilli.com",1,0.3,1,0.3,0.7,0.7
